Fecha_Publicacion,total_count,economía_count,empleo_count,salud_count,tecnología_count,empleo_sum,economía_sum,tecnología_sum,salud_sum,publica
1995-02-05,0,,,,,0.0,0.0,0.0,0.0,0
1995-02-06,1,0.0,0.0,0.0,1.0,0.0002750078565441,1.6944344679359347e-05,0.0013244935544207,1.4150523384159897e-05,1
1995-02-07,5,0.0,3.0,0.0,2.0,1.98882573161427,9.727485485200305e-05,0.07733044161977884,0.00013504336038749898,5
1995-02-08,5,0.0,3.0,0.0,2.0,2.043100237577164,0.0034805957911883947,0.9852554271674305,8.734127186471596e-05,5
1995-02-09,3,0.0,3.0,0.0,0.0,2.9747022390365605,0.00010476716488483362,0.010744085464466459,5.476627666212153e-05,3
1995-02-10,2,0.0,2.0,0.0,0.0,0.2796433464973233,0.0013358516807784255,0.00025187677601928274,3.8507432691403665e-05,2
1995-02-11,0,,,,,0.0,0.0,0.0,0.0,0
1995-02-12,0,,,,,0.0,0.0,0.0,0.0,0
1995-02-13,0,,,,,0.0,0.0,0.0,0.0,0
1995-02-14,11,2.0,1.0,0.0,8.0,0.010760568697150951,0.9646381332049713,0.0064418255133199594,0.00026017802338167866,11
1995-02-15,1,0.0,1.0,0.0,0.0,0.9765734672546388,2.369416324654594e-05,5.853184848092496e-05,1.545754639664665e-05,1
1995-02-16,4,0.0,4.0,0.0,0.0,3.976715922355652,7.977218865562463e-05,0.0002787811881716871,0.019999931803795244,4
1995-02-17,5,0.0,5.0,0.0,0.0,4.90822297334671,0.0011270129652983236,0.6503514046416967,7.930498213681858e-05,5
1995-02-18,0,,,,,0.0,0.0,0.0,0.0,0
1995-02-19,0,,,,,0.0,0.0,0.0,0.0,0
1995-02-20,2,0.0,2.0,0.0,0.0,1.8902496695518491,6.287188080023044e-05,7.882865975261666e-05,3.320517498650588e-05,2
1995-02-21,16,0.0,14.0,0.0,2.0,12.957502055774967,0.0005683206809407606,0.9239702819086232,0.9553073044144185,16
1995-02-22,1,0.0,1.0,0.0,0.0,0.9851935505867004,0.0030598549637943,9.285943087888882e-05,2.3640906874788925e-05,1
1995-02-23,9,0.0,9.0,0.0,0.0,6.831576452590525,0.018699145992286274,0.12503432507583026,0.00015871652431087568,9
1995-02-24,3,0.0,3.0,0.0,0.0,2.997057795524597,0.00024537105582561717,8.07392616479774e-05,9.0008734332514e-05,3
1995-02-25,1,0.0,1.0,0.0,0.0,0.9969791173934937,2.8619306249311197e-05,6.144271173980087e-05,1.371933649352286e-05,1
1995-02-26,0,,,,,0.0,0.0,0.0,0.0,0
1995-02-27,0,,,,,0.0,0.0,0.0,0.0,0
